Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1489,152,Sep 17,NYY,,LAA,"W,8-0",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.326,.498,.823,6,.62,-0.069,.07,-0.01%,-0.81,3.00,3.00,CF
1490,153,Sep 18,NYY,,LAA,"L,2-3",CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.251,.327,.498,.825,7,1.34,0.069,.23,0.01%,0.28,6.00,6.00,CF
1491,154,Sep 19,NYY,,LAA,"W,9-1",CG,4,3,3,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,.254,.330,.508,.838,7,.62,0.081,.08,0.01%,2.02,29.00,41.10,CF
1492,155,Sep 20,NYY,,TOR,"L,3-4",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.330,.505,.835,6,1.68,-0.084,.14,0.00%,-0.21,5.00,6.20,CF
1493,156,Sep 21,NYY,,TOR,"W,7-2",CG,5,4,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.254,.330,.503,.833,1,.78,-0.042,.07,0.00%,-0.94,5.00,6.00,CF
1494,157,Sep 22,NYY,,TOR,"W,8-3",CG,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.254,.330,.507,.837,5,.44,0.170,.07,0.02%,1.77,18.00,25.70,CF
1495,158,Sep 24,NYY,@,TBR,"L,1-2",10-GF(12),2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.328,.505,.834,9,2.77,-0.153,.43,-0.01%,-0.51,0.00,0.00,PH CF
1496,159,Sep 25,NYY,@,TBR,"L,0-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.251,.326,.501,.827,3,.94,-0.099,.11,-0.01%,-0.99,0.00,0.00,CF
1497,160,Sep 27,NYY,@,TEX,"W,14-7",GS-8,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.253,.327,.507,.834,6,.71,0.051,.08,0.00%,0.39,19.00,24.90,CF
1498,161,Sep 28,NYY,@,TEX,"L,4-9",GS-7,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.252,.326,.506,.832,3,1.16,-0.019,.14,0.00%,-0.18,2.00,3.50,CF
1499,162,Sep 29,NYY,@,TEX,"L,1-6",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.251,.325,.503,.829,3,.35,-0.015,.00,0.00%,-0.46,2.00,3.00,CF
